comparison_id	left_gene_set	right_gene_set	gene_symbol	status
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	CUL1	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	FYN	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	HDAC9	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	HERC1	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	JARID2	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	PPP3CA	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	PTK2	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	RB1CC1	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	SCAF1	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	SCN2A	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	SETD1A	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	SP4	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	STAG1	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	TRIO	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	XPO7	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	ZMYM2	shared
